,datetime,open,high,low,close,volume,ema_10,ema_20,date,current_days_high,previous_day_high,current_days_low,previous_day_low,strike,symbol
171,2024-02-08 11:00:00,45881.9,45881.95,45530.0,45572.2,380175,46047.7859110507,46129.190469007626,2024-02-08,46475.7,46296.0,45053.2,45901.0,45800,NSE:BANKNIFTY24FEB45800PE
172,2024-02-08 11:05:00,45571.9,45650.0,45463.2,45573.4,190110,45961.533927223296,46076.25804178772,2024-02-08,46475.7,46296.0,45053.2,45901.0,45800,NSE:BANKNIFTY24FEB45800PE
173,2024-02-08 11:10:00,45578.9,45685.0,45564.8,45637.6,91920,45902.63684954634,46034.48108428435,2024-02-08,46475.7,46296.0,45053.2,45901.0,45800,NSE:BANKNIFTY24FEB45800PE
174,2024-02-08 11:15:00,45640.0,45675.0,45592.55,45625.0,63510,45852.1574223561,45995.48288481603,2024-02-08,46475.7,46296.0,45053.2,45901.0,45800,NSE:BANKNIFTY24FEB45800PE
175,2024-02-08 11:20:00,45625.8,45647.25,45582.6,45632.9,53730,45812.29243647317,45960.95118072708,2024-02-08,46475.7,46296.0,45053.2,45901.0,45800,NSE:BANKNIFTY24FEB45800PE
176,2024-02-08 11:25:00,45631.5,45695.0,45618.25,45662.0,42165,45784.9665389326,45932.47963912871,2024-02-08,46475.7,46296.0,45053.2,45901.0,45900,NSE:BANKNIFTY24FEB45900PE
177,2024-02-08 11:30:00,45662.6,45674.9,45565.0,45580.8,43080,45747.84535003576,45898.98633955022,2024-02-08,46475.7,46296.0,45053.2,45901.0,45800,NSE:BANKNIFTY24FEB45800PE
178,2024-02-08 11:35:00,45585.7,45667.95,45563.2,45645.8,22710,45729.291650029256,45874.8733544313,2024-02-08,46475.7,46296.0,45053.2,45901.0,45800,NSE:BANKNIFTY24FEB45800PE
179,2024-02-08 11:40:00,45647.5,45659.75,45600.3,45609.7,30630,45707.54771366031,45849.61874886847,2024-02-08,46475.7,46296.0,45053.2,45901.0,45800,NSE:BANKNIFTY24FEB45800PE
180,2024-02-08 11:45:00,45605.6,45633.0,45578.6,45624.8,22170,45692.502674812975,45828.207439161786,2024-02-08,46475.7,46296.0,45053.2,45901.0,45800,NSE:BANKNIFTY24FEB45800PE
181,2024-02-08 11:50:00,45619.9,45688.0,45610.9,45665.8,24990,45687.6476430288,45812.74006381356,2024-02-08,46475.7,46296.0,45053.2,45901.0,45900,NSE:BANKNIFTY24FEB45900PE
182,2024-02-08 11:55:00,45665.8,45713.55,45649.25,45653.4,38760,45681.42079884175,45797.564819472216,2024-02-08,46475.7,46296.0,45053.2,45901.0,45900,NSE:BANKNIFTY24FEB45900PE
186,2024-02-08 12:15:00,45691.0,45709.45,45644.2,45646.7,16710,45679.89756582205,45759.07877470142,2024-02-08,46475.7,46296.0,45053.2,45901.0,45800,NSE:BANKNIFTY24FEB45800PE
187,2024-02-08 12:20:00,45646.7,45654.0,45597.05,45635.1,24450,45671.75255385441,45747.271272269354,2024-02-08,46475.7,46296.0,45053.2,45901.0,45800,NSE:BANKNIFTY24FEB45800PE
188,2024-02-08 12:25:00,45637.2,45649.95,45601.85,45608.1,9855,45660.17936224452,45734.01686530577,2024-02-08,46475.7,46296.0,45053.2,45901.0,45800,NSE:BANKNIFTY24FEB45800PE
189,2024-02-08 12:30:00,45604.4,45640.2,45556.15,45624.7,48915,45653.72856910915,45723.60573521924,2024-02-08,46475.7,46296.0,45053.2,45901.0,45800,NSE:BANKNIFTY24FEB45800PE
190,2024-02-08 12:35:00,45624.7,45656.0,45610.0,45616.6,15420,45646.977920180216,45713.41471276656,2024-02-08,46475.7,46296.0,45053.2,45901.0,45800,NSE:BANKNIFTY24FEB45800PE
195,2024-02-08 13:00:00,45698.5,45715.0,45644.05,45648.9,12255,45660.36978105521,45695.43737313168,2024-02-08,46475.7,46296.0,45053.2,45901.0,45800,NSE:BANKNIFTY24FEB45800PE
199,2024-02-08 13:20:00,45675.4,45698.0,45651.5,45664.9,7995,45669.04701410445,45689.38656784729,2024-02-08,46475.7,46296.0,45053.2,45901.0,45900,NSE:BANKNIFTY24FEB45900PE
202,2024-02-08 13:35:00,45690.1,45700.0,45656.75,45673.9,31965,45680.13919855909,45690.921117469596,2024-02-08,46475.7,46296.0,45053.2,45901.0,45900,NSE:BANKNIFTY24FEB45900PE
204,2024-02-08 13:45:00,45689.8,45710.0,45670.15,45671.1,8775,45679.93285192798,45688.93678776746,2024-02-08,46475.7,46296.0,45053.2,45901.0,45900,NSE:BANKNIFTY24FEB45900PE
205,2024-02-08 13:50:00,45670.1,45699.9,45639.45,45655.3,13725,45675.45415157744,45685.733284167,2024-02-08,46475.7,46296.0,45053.2,45901.0,45900,NSE:BANKNIFTY24FEB45900PE
207,2024-02-08 14:00:00,45682.8,45697.95,45573.8,45573.8,30645,45658.06434940308,45674.82021673448,2024-02-08,46475.7,46296.0,45053.2,45901.0,45800,NSE:BANKNIFTY24FEB45800PE
208,2024-02-08 14:05:00,45589.0,45645.65,45576.6,45623.0,20280,45651.689013147974,45669.8849579938,2024-02-08,46475.7,46296.0,45053.2,45901.0,45800,NSE:BANKNIFTY24FEB45800PE
209,2024-02-08 14:10:00,45623.0,45659.95,45585.0,45598.6,15765,45642.03646530289,45663.095914370286,2024-02-08,46475.7,46296.0,45053.2,45901.0,45800,NSE:BANKNIFTY24FEB45800PE
211,2024-02-08 14:20:00,45645.0,45649.0,45562.4,45586.0,28650,45632.28887346723,45654.19416119111,2024-02-08,46475.7,46296.0,45053.2,45901.0,45800,NSE:BANKNIFTY24FEB45800PE
212,2024-02-08 14:25:00,45586.0,45596.5,45479.0,45540.6,50505,45615.61816920046,45643.37566964313,2024-02-08,46475.7,46296.0,45053.2,45901.0,45700,NSE:BANKNIFTY24FEB45700PE
213,2024-02-08 14:30:00,45538.4,45544.9,45452.1,45473.3,63240,45589.74213843674,45627.17798681189,2024-02-08,46475.7,46296.0,45053.2,45901.0,45700,NSE:BANKNIFTY24FEB45700PE
214,2024-02-08 14:35:00,45481.4,45486.6,45280.0,45361.1,134145,45548.170840539155,45601.83722615169,2024-02-08,46475.7,46296.0,45053.2,45901.0,45600,NSE:BANKNIFTY24FEB45600PE
215,2024-02-08 14:40:00,45367.0,45409.45,45327.25,45369.4,37170,45515.66705135021,45579.700347461534,2024-02-08,46475.7,46296.0,45053.2,45901.0,45600,NSE:BANKNIFTY24FEB45600PE
216,2024-02-08 14:45:00,45370.6,45410.0,45369.15,45399.3,30960,45494.50940565018,45562.51936198265,2024-02-08,46475.7,46296.0,45053.2,45901.0,45600,NSE:BANKNIFTY24FEB45600PE
217,2024-02-08 14:50:00,45407.4,45410.5,45335.0,45381.0,25260,45473.8713318956,45545.231803692805,2024-02-08,46475.7,46296.0,45053.2,45901.0,45600,NSE:BANKNIFTY24FEB45600PE
218,2024-02-08 14:55:00,45385.0,45402.1,45236.0,45286.9,66240,45439.87654427822,45520.628774762234,2024-02-08,46475.7,46296.0,45053.2,45901.0,45500,NSE:BANKNIFTY24FEB45500PE
219,2024-02-08 15:00:00,45280.1,45314.85,45053.2,45197.1,154050,45395.73535440945,45489.816510490724,2024-02-08,46475.7,46296.0,45053.2,45901.0,45400,NSE:BANKNIFTY24FEB45400PE
220,2024-02-08 15:05:00,45206.6,45294.95,45176.4,45254.6,85335,45370.07438088046,45467.41493805748,2024-02-08,46475.7,46296.0,45053.2,45901.0,45500,NSE:BANKNIFTY24FEB45500PE
221,2024-02-08 15:10:00,45250.2,45265.15,45164.05,45185.0,54450,45336.42449344765,45440.51827728407,2024-02-08,46475.7,46296.0,45053.2,45901.0,45400,NSE:BANKNIFTY24FEB45400PE
222,2024-02-08 15:15:00,45195.3,45205.0,45140.25,45195.9,89250,45310.87458554808,45417.22129849039,2024-02-08,46475.7,46296.0,45053.2,45901.0,45400,NSE:BANKNIFTY24FEB45400PE
223,2024-02-08 15:20:00,45194.1,45270.25,45194.1,45258.9,71355,45301.42466090297,45402.14307958377,2024-02-08,46475.7,46296.0,45053.2,45901.0,45500,NSE:BANKNIFTY24FEB45500PE
224,2024-02-08 15:25:00,45258.8,45334.8,45246.05,45278.8,88890,45297.31108619334,45390.39611962146,2024-02-08,46475.7,46296.0,45053.2,45901.0,45500,NSE:BANKNIFTY24FEB45500PE
